doc_index,title,n_sentences,main_topic,main_prob
838,世界看到一个奋进、开放、勇于担当的中国,1,1,0.7008
839,乘长风破万里浪,7,3,0.6059
841,决胜“十四五” 奋发向前行（社论）,4,2,0.5392
844,以中国式现代化全面推进强国建设、民族复兴伟业,8,2,0.9984
845,同球共济 砥柱中流,2,1,0.7803
846,谋大势  担大义  行大道,2,1,0.7219
848,惠及世界的“幸福路”越走越宽广（和音）,1,4,0.7289
851,为“全球南方”共同迈向现代化贡献中国智慧和力量（深入学习贯彻习近平新时代中国特色社会主义思想）,2,4,0.9938
852,为“全球南方”共同迈向现代化贡献中国智慧和力量（深入学习贯彻习近平新时代中国特色社会主义思想）,2,4,0.9938
854,立己达人，携手同行现代化之路（和音）,1,4,0.9902
856,做好自然资源工作，为实现中华民族永续发展开辟广阔前景,3,3,0.5518
857,充分感受塔中两国间的真挚友谊（大国外交·回响）,1,1,0.6191
858,促进世界和平安宁和人类共同进步（和音）,1,1,0.9697
860,同球共济 和合共生,1,4,0.953
862,携手构建和合共生的美好世界（和音）,1,1,0.9967
863,深化法治交流合作 助力新时代中拉关系发展,1,1,0.9872
864,王毅出席2024年国际形势与中国外交研讨会并发表演讲,1,0,0.5851
878,为推动构建中拉命运共同体作出更大贡献,1,1,0.9885
879,习近平同志《论坚持和完善人民代表大会制度》主要篇目介绍,8,4,0.5374
881,读懂中国，共享中国式现代化机遇（和音）,1,1,0.9762
883,知识产权赋能新质生产力发展的三重维度,1,2,0.9764
886,三个维度感悟中华文明现代力量,8,3,0.6134
888,中国的改革和现代化与全球发展新机遇（人民要论）,1,2,0.9914
890,2024年“读懂中国”国际会议在广州举办,1,3,0.5274
892,中华人民共和国和尼泊尔联合声明,1,0,0.9835
896,2024年“读懂中国”国际会议在广州举办 李书磊宣读习近平主席贺信并发表主旨演讲,1,3,0.5275
899,开创共建“一带一路”更加光明的未来,1,2,0.8853
902,惠民生 得民心 利天下,3,4,0.9925
903,赵乐际对希腊进行正式友好访问,1,1,0.7485
904,汇集人类共同发展的最大公约数,1,4,0.9883
906,为全球农村公路和减贫事业贡献智慧与力量（和音）,1,1,0.6751
907,赵乐际对希腊进行正式友好访问,1,1,0.7485
915,中华人民共和国和萨摩亚独立国联合声明,1,0,0.9835
918,增进人民健康，建设健康中国,6,4,0.5625
920,深刻把握构建中国话语和中国叙事体系的认识论意蕴（构建中国特色哲学社会科学）,1,1,0.5812
921,深化拓展伙伴关系 促进世界和平发展（和音）,1,4,0.9424
922,站在历史正确的一边,2,1,0.6349
923,“从历史长周期把握世界大势”,9,4,0.9659
924,中巴关系史上的重要里程碑,2,1,0.9962
925,中国智慧点亮全球治理的“拉美时刻”（和音）,1,4,0.9925
926,跨越山海的友谊、团结、合作、开拓之旅,4,1,0.6539
927,“弱鸟”先飞、高飞，带来的信心和可能,1,0,0.9882
931,加快构建多渠道、立体式对外传播格局（人民观察）,5,2,0.7873
932,开启中巴关系下一个“黄金五十年”（和音）,2,1,0.7122
934,习近平同巴西总统卢拉举行会谈,2,1,0.9956
935,习近平同巴西总统卢拉举行会谈,2,1,0.9956
942,中华海外联谊会六届一次理事大会召开,2,2,0.9964
943,新港口和主办权，都指向“下一个‘中国’”,2,4,0.9758
944,中华海外联谊会六届一次理事大会召开 王沪宁出席并讲话,2,2,0.9964
945,坚持改革和开放相统一——学习习近平总书记在省部级主要领导干部专题研讨班开班式重要讲话精神系列述评之六,5,3,0.3081
946,深化亚太合作 造福亚太人民,1,4,0.7684
947,开拓创新 逐梦深海,3,0,0.7343
948,加强海洋科技创新拓展国际海洋合作 为推进中国式现代化推动构建人类命运共同体作出更大贡献,3,0,0.9956
952,习近平致“梦想”号大洋钻探船建成入列的贺信,1,0,0.9892
953,习近平致信祝贺“梦想”号大洋钻探船建成入列,2,0,0.9927
956,同心所向 跨越山海（和音）,3,4,0.9938
961,信心，在当下在未来,1,0,0.9854
964,让中秘友好之船扬帆远航,2,4,0.9923
965,习近平在秘鲁媒体发表署名文章,2,4,0.9923
970,国家安全是中国式现代化行稳致远的重要基础（学习贯彻党的二十届三中全会精神）,2,2,0.7785
972,国家安全是中国式现代化行稳致远的重要基础（学习贯彻党的二十届三中全会精神）,2,2,0.7785
975,新时代赶考之路与中国式现代化,20,2,0.9993
983,中华人民共和国和印度尼西亚共和国关于推进全面战略伙伴关系和中印尼命运共同体建设的联合声明,1,0,0.821
984,从“和平共处”到“和合共生”,2,1,0.9961
986,加强团结合作 促进发展繁荣,2,1,0.8186
987,李希对南非进行正式友好访问,1,3,0.6541
988,习近平将赴秘鲁出席亚太经合组织第三十一次领导人非正式会议并对秘鲁进行国事访问、赴巴西出席二十国集团领导人第十九次峰会并对巴西进行国事访问,1,1,0.9845
991,李希对南非进行正式友好访问,1,3,0.6541
992,进博之约丨大国之诺 一诺千金,2,4,0.6915
994,促进文明传承发展 推动文明交流互鉴,1,4,0.9813
998,深化文化体制机制改革 加快建设社会主义文化强国,3,3,0.9971
1002,加快构建绿色低碳循环发展经济体系 促进经济社会发展全面绿色转型（深学笃行阐释习近平经济思想）,2,0,0.5652
1004,李希对肯尼亚进行正式友好访问,2,3,0.4914
1005,李希对肯尼亚进行正式友好访问,2,3,0.4915
1007,推动高水平开放 合作共赢创未来,1,1,0.9038
1010,李强分别会见哈萨克斯坦总理别克捷诺夫、乌兹别克斯坦总理阿里波夫,2,1,0.7609
1011,中国将始终是世界发展的重要机遇,2,4,0.5371
1013,“始终坚持以人民为中心的发展思想”（大道之行）,1,3,0.6505
1021,交流互鉴 携手共进（大使随笔·推动构建人类命运共同体）,1,1,0.7672
1025,习近平同赞比亚总统希奇莱马就中赞建交60周年互致贺电,1,1,0.9939
1026,习近平同赞比亚总统希奇莱马就中赞建交60周年互致贺电,1,1,0.9939
1028,推动中索关系取得更多新成果（大使随笔·推动构建人类命运共同体）,1,1,0.9785
1031,从“以和为贵”到“和合共生”,5,4,0.9972
1035,“时代的风浪越大，我们越要勇立潮头”,3,1,0.7072
1036,大金砖 大团结 大作为,1,1,0.9855
1044,为国家长治久安提供强大制度保障（人民观察·进一步全面深化改革的“七个聚焦”）,7,1,0.5754
1047,深刻认识开放是中国式现代化的鲜明标识（学习贯彻党的二十届三中全会精神）,1,3,0.9673
1049,深刻认识开放是中国式现代化的鲜明标识（学习贯彻党的二十届三中全会精神）,1,3,0.9673
1054,共享中国发展新机遇（权威发布）,1,4,0.9871
1059,坚定不移将文化体制机制改革引向深入,11,2,0.8544
1061,纪念孔子诞辰2575周年国际学术研讨会暨国际儒学联合会第七届会员大会开幕,1,2,0.7427
1062,共同开启金砖合作新征程,2,1,0.5461
1063,学习《决定》每日问答丨为什么要构建更有效力的国际传播体系,3,2,0.6806
1064,中华人民共和国和巴基斯坦伊斯兰共和国联合声明,1,1,0.9733
1066,全国政协十四届常委会第九次会议大会发言摘编,17,2,0.696
1067,谱写中冈友好新篇章（大使随笔·推动构建人类命运共同体）,2,1,0.762
1068,李强会见塔吉克斯坦总理拉苏尔佐达,1,1,0.6415
1071,中华人民共和国和越南社会主义共和国联合声明,1,0,0.5936
1072,努力铸就新时代文艺高峰,18,3,0.9992
1076,中华人民共和国和老挝人民民主共和国联合声明,1,0,0.9896
1079,丁薛祥出席中国环境与发展国际合作委员会2024年年会并讲话,1,3,0.9789
1082,王毅出席中国国际友好大会暨中国人民对外友好协会成立70周年纪念活动,1,4,0.7443
1092,书写中国红十字事业高质量发展新篇章,1,2,0.7264
1093,学习《决定》每日问答丨加强涉外法治建设主要有哪些要求,1,0,0.5921
1094,走和平发展的人间正道（和音）,1,4,0.9837
1095,以多重视野呈现百年党史图景,1,1,0.4979
1096,为强国建设、民族复兴注入强大精神力量,9,3,0.6268
1097,为全球治理体系变革完善提供中国方案（奋进强国路 阔步新征程）,2,1,0.9958
1098,“为构建面向新时代的阿中命运共同体贡献智慧和力量”,1,1,0.5334
1099,担负起新的文化使命 铸就社会主义文化新辉煌,9,3,0.5845
1103,为共建清洁美丽世界作出重要贡献（国际社会看新中国75年成就）,1,3,0.9956
1105,外国领导人热烈祝贺中华人民共和国成立75周年,2,3,0.5455
1106,七十五载栉风沐雨，新征程上砥砺前行,6,1,0.5514
1108,锚定全面建成社会主义现代化强国目标奋发进取,13,2,0.5229
1109,习近平同俄罗斯总统普京就中俄建交75周年互致贺电,2,1,0.9957
1110,习近平同俄罗斯总统普京就中俄建交75周年互致贺电,2,1,0.9957
1111,外国领导人热烈祝贺中华人民共和国成立75周年,8,3,0.5002
1112,中国人民必将创造出新的更大辉煌,5,2,0.5009
1113,把前无古人的伟大事业不断推向前进,2,2,0.9914
1116,在庆祝中华人民共和国成立75周年招待会上的讲话,2,2,0.9904
1117,庆祝共和国华诞的最好行动,4,2,0.9036
1118,把前无古人的伟大事业不断推向前进,2,2,0.9914
1119,壮阔的行进 光明的前程（社论）,3,2,0.9969
1120,庆祝中华人民共和国成立75周年招待会在京隆重举行,2,2,0.9886
1121,习近平：在庆祝中华人民共和国成立75周年招待会上的讲话,2,2,0.9904
1122,庆祝中华人民共和国成立75周年招待会在京隆重举行 习近平发表重要讲话,2,2,0.9886
1124,光明之路 正义之路,10,4,0.8351
1127,汇聚起共襄强国盛举的磅礴力量,2,0,0.6606
1136,“为祖国发展繁荣而不懈奋斗”,14,0,0.557
1137,今天的中国，明天的中国,10,3,0.824
1138,全国政协办公厅、中共中央统战部、国务院侨办、国务院港澳办、国务院台办、中国侨联联合举行国庆招待会,3,2,0.9969
1141,庆祝中华人民共和国成立75周年外国专家招待会举行,1,0,0.9896
1143,加快建设社会主义文化强国（进一步全面深化改革的“七个聚焦”）,8,2,0.6965
1147,勇开历史新天地（人民要论）,11,2,0.9427
1148,坚持和发展中国特色社会主义,7,2,0.9986
1152,七十五载砥砺奋进 鉴往知来再启新程（人民要论）,4,2,0.8524
1153,建设教育强国的强大思想武器和科学行动指南,12,3,0.9992
1155,深刻理解习近平经济思想的世界意义（深学笃行阐释习近平经济思想）,6,0,0.7621
1161,向着航天强国目标勇毅前行,6,0,0.9984
1162,打造中非关系和全球南方合作的样板（大使随笔·推动构建人类命运共同体）,1,1,0.9872
1206,习近平分别会见出席中非合作论坛北京峰会的部分非洲国家领导人,2,1,0.6867
1215,携手推进现代化，共筑命运共同体,4,1,0.6696
1217,习近平出席中非合作论坛北京峰会开幕式并发表主旨讲话,8,1,0.8347
1219,中非合作论坛北京峰会治国理政高级别会议举行,3,1,0.7472
1229,习近平会见坦桑尼亚总统哈桑,1,4,0.9421
1231,习近平会见坦桑尼亚总统哈桑,1,4,0.9421
1246,习近平分别会见出席中非合作论坛北京峰会的部分非洲国家领导人,2,1,0.9896
1289,在全国纪念邓小平同志诞辰120周年学术研讨会上的讲话,10,2,0.9989
1290,全国纪念邓小平同志诞辰120周年学术研讨会在京举行,1,2,0.9977
1291,习近平将出席2024年中非合作论坛峰会开幕式并举行相关活动,2,1,0.9958
1296,在纪念邓小平同志诞辰120周年座谈会上的讲话,7,2,0.9985
1297,中共中央举行纪念邓小平同志诞辰120周年座谈会,5,2,0.9989
1333,守护好中华民族的文化瑰宝和自然珍宝 让文化和自然遗产在新时代焕发新活力绽放新光彩,1,0,0.9795
1385,中共二十届三中全会在京举行,3,2,0.9982
1401,习近平会见瓦努阿图总理萨尔维,2,1,0.9922
1415,习近平同几内亚比绍总统恩巴洛会谈,2,1,0.7285
1432,习近平同塔吉克斯坦总统拉赫蒙举行会谈,7,1,0.5513
1436,携手构建更加美好的上海合作组织家园,1,4,0.9893
1445,习近平同哈萨克斯坦总统托卡耶夫举行会谈,1,3,0.9833
1459,新时代新征程中国共产党的使命任务,1,4,0.5979
1461,新时代新征程中国共产党的使命任务,1,2,0.99
1472,习近平同委内瑞拉总统马杜罗就中委建交50周年互致贺电,1,1,0.9845
1492,在全国科技大会、国家科学技术奖励大会、两院院士大会上的讲话,1,4,0.9659
1493,全国科技大会国家科学技术奖励大会两院院士大会在京召开,4,3,0.6967
1502,中华人民共和国政府和马来西亚政府关于深化提升全面战略伙伴关系、共建中马命运共同体的联合声明,1,0,0.9729
1573,习近平同匈牙利总理欧尔班共同会见记者,2,1,0.9148
1577,习近平出席武契奇总统饯行话别,1,1,0.8697
1578,习近平同匈牙利总理欧尔班举行会谈,4,1,0.7413
1584,习近平出席塞尔维亚总统武契奇举行的欢迎宴会,2,1,0.9901
1585,携手引领中匈关系驶入“黄金航道”,2,3,0.7541
1586,习近平同塞尔维亚总统武契奇共同会见记者,6,1,0.842
1588,让铁杆友谊之光照亮中塞合作之路,3,1,0.7013
1592,继往开来，携手开创中法合作新时代,1,1,0.9879
1593,习近平同马克龙出席中法企业家委员会第六次会议闭幕式并致辞,3,3,0.5265
